sid,lat,lon,org
FT1_384,24.164985,120.69889,LASS
CiXin001,24.6821516667,121.757243333,LASS
LASS-PI_014,25.0811683333,121.571853333,LASS
FT1_116,23.4792483333,120.4491,LASS
FT1_399,24.0762833333,120.519948333,LASS
FT_SYPS1,22.6850583333,120.49147,LASS
YK_160,22.9986383333,120.24562,LASS
FT1_928,23.7673233333,120.706223333,LASS
FT1_024,25.1064983333,121.732768333,LASS
CiXin001,24.68213,121.757345,LASS
LASS-PI_014,25.080795,121.571886667,LASS
FT1_116,23.479235,120.448991667,LASS
FT1_115,23.456995,120.441685,LASS
FT1_399,24.089695,120.51868,LASS
FT_SYPS1,22.6850966667,120.491433333,LASS
YK_160,22.9987233333,120.245578333,LASS
FT1_024,25.1065033333,121.732775,LASS
FT1_398,24.1240433333,120.632136667,LASS
FT1_CCH01,22.996025,120.227946667,LASS
CiXin001,24.6821583333,121.757615,LASS
FT1_386,24.1815066667,120.683721667,LASS
LASS-PI_014,25.080565,121.571895,LASS
FT1_116,23.4793033333,120.448923333,LASS
LASS-PI_014,25.0809683333,121.571945,LASS
FT1_399,24.063375,120.534338333,LASS
FT_SYPS1,22.6850633333,120.491416667,LASS
YK_160,22.9986783333,120.245485,LASS
LASS-PI_014,25.08071,121.571938333,LASS
FT1_399,24.0634133333,120.534388333,LASS
FT_SYPS1,22.684965,120.491343333,LASS
YK_160,22.99883,120.24548,LASS
FT1_928,23.7673116667,120.706355,LASS
FT1_024,25.1064633333,121.732716667,LASS
FT1_CCH01,22.9961933333,120.227958333,LASS
FT1_399,24.0633166667,120.534051667,LASS
FT_SYPS1,22.685225,120.491388333,LASS
YK_160,22.99858,120.245531667,LASS
FT1_928,23.7673033333,120.706345,LASS
FT1_024,25.1065333333,121.73281,LASS
FT1_398,24.1239516667,120.632151667,LASS
FT1_CCH01,22.996145,120.228056667,LASS
FT1_386,24.18142,120.68375,LASS
LASS-PI_014,25.0805066667,121.571956667,LASS
FT1_115,23.4570833333,120.441721667,LASS
FT1_399,24.06336,120.534353333,LASS
FT_SYPS1,22.685155,120.491486667,LASS
YK_160,22.99869,120.245503333,LASS
FT1_928,23.7672716667,120.70627,LASS
FT1_024,25.1064666667,121.732731667,LASS
FT1_CCH01,22.996145,120.228035,LASS
FT1_398,24.1240483333,120.632101667,LASS
FT1_386,24.181415,120.683746667,LASS
LASS-PI_014,25.0803416667,121.571925,LASS
FT1_384,24.1650766667,120.698848333,LASS
FT1_116,23.4792183333,120.448975,LASS
FT1_966,24.17558,120.66879,LASS
FT1_399,24.0635433333,120.534293333,LASS
FT1_928,23.7673633333,120.706221667,LASS
FT1_024,25.10657,121.732768333,LASS
FT1_CCH01,22.99606,120.228031667,LASS
LASS-PI_014,25.0802916667,121.57199,LASS
FT1_116,23.479275,120.449051667,LASS
FT1_966,24.1754216667,120.668621667,LASS
FT1_399,24.0637233333,120.534406667,LASS
FT1_928,23.7673116667,120.706321667,LASS
FT1_024,25.106485,121.732681667,LASS
FT1_CCH01,22.99609,120.228126667,LASS
FT1_398,24.1239633333,120.63211,LASS
LASS-PI_014,25.08061,121.57202,LASS
FT1_115,23.45699,120.441713333,LASS
FT1_966,24.1755516667,120.669221667,LASS
FT1_399,24.0706866667,120.535216667,LASS
YK_160,22.9987666667,120.245565,LASS
FT1_024,25.1065733333,121.732786667,LASS
LASS-PI_014,25.0806933333,121.572055,LASS
FT1_966,24.1755233333,120.66902,LASS
FT1_399,24.063735,120.534391667,LASS
FT1_386,24.1815166667,120.683745,LASS
LASS-PI_014,25.08057,121.572071667,LASS
FT1_384,24.16497,120.698873333,LASS
FT1_116,23.4792783333,120.448948333,LASS
FT1_966,24.1755,120.669016667,LASS
FT1_399,24.0592083333,120.532883333,LASS
FT1_928,23.7673216667,120.70627,LASS
FT1_CCH01,22.9961116667,120.228018333,LASS
LASS-PI_014,25.0805366667,121.572088333,LASS
FT1_384,24.1649316667,120.698978333,LASS
FT1_116,23.4792683333,120.449048333,LASS
FT1_115,23.4570833333,120.441728333,LASS
FT1_966,24.1754083333,120.668898333,LASS
